,Week,A(H3N2v),A (H1N1)pdm09,A(H3),A(unable to sub-type),A(Subtyping not performed),B,BVIC,BYAM,Total # Tested
0,201640,0,9,86,0,0,1,5,4,897
1,201641,0,11,81,0,0,3,7,6,970
2,201642,0,12,134,0,2,1,8,10,1140
3,201643,0,13,130,0,1,6,3,3,1170
4,201644,0,12,122,0,3,3,10,7,1296
5,201645,0,5,155,0,1,5,6,1,1275
6,201646,0,9,189,0,2,13,7,1,1351
7,201647,0,5,164,0,14,10,4,3,1099
8,201648,0,13,318,0,12,17,17,5,1716
9,201649,0,14,479,0,3,3,20,7,1878
10,201650,0,18,750,0,9,16,27,18,2245
11,201651,0,29,1016,0,11,16,38,28,2504
12,201652,0,32,1676,0,31,13,59,37,3287
13,201701,0,53,2067,0,13,19,47,60,3926
14,201702,0,49,2209,0,30,25,49,76,4341
15,201703,0,57,2252,0,24,26,69,104,4269
16,201704,0,47,2431,0,29,30,70,123,4557
17,201705,0,51,2590,0,30,50,96,182,5079
18,201706,0,71,2972,0,23,47,126,240,5514
19,201707,0,68,2617,0,17,104,153,300,5332
20,201708,0,87,2364,0,12,89,159,353,5052
21,201709,0,54,1491,0,13,102,149,358,3988
22,201710,0,50,1256,0,14,109,136,389,3616
23,201711,0,27,908,0,12,126,139,438,3237
24,201712,0,31,832,0,4,120,188,522,3197
25,201713,0,27,640,0,3,202,141,576,3001
26,201714,0,17,361,0,1,123,117,450,2283
27,201715,0,5,220,0,1,89,65,372,1707
28,201716,0,11,143,0,1,80,51,246,1537
29,201717,0,7,133,0,1,55,46,176,1301
30,201718,0,5,80,0,2,53,29,121,1031
31,201719,0,3,95,0,2,39,37,115,886
32,201720,0,5,63,0,1,34,32,111,779
33,201721,0,7,41,0,0,23,26,80,628
34,201722,0,1,39,0,0,17,50,60,529
35,201723,0,5,30,0,0,19,22,63,438
36,201724,0,8,41,0,1,9,11,44,383
37,201725,0,5,40,0,0,8,11,31,374
38,201726,0,4,36,0,1,7,4,21,348
39,201727,0,10,27,0,0,4,7,7,283
40,201728,2,4,31,0,0,11,5,9,339
41,201729,9,8,25,0,0,8,0,7,338
42,201730,0,7,30,0,1,3,1,21,309
43,201731,5,8,40,0,0,3,0,8,293
44,201732,0,4,43,0,0,7,0,20,290
45,201733,0,5,24,0,3,1,0,9,262
46,201734,0,6,51,0,1,8,0,8,324
47,201735,0,18,61,0,1,7,0,0,400
48,201736,0,11,101,0,1,4,0,10,385
49,201737,0,7,91,0,0,15,1,11,558
50,201738,17,2,73,0,1,10,1,9,580
51,201739,24,8,54,0,1,1,0,2,474
52,201740,1,13,123,0,3,5,0,16,1005
53,201741,0,14,143,0,1,4,4,13,996
54,201742,0,14,173,0,0,2,1,11,1187
55,201743,0,26,177,0,4,6,1,21,1349
56,201744,0,23,247,0,2,14,3,36,1501
57,201745,0,29,315,0,1,12,4,33,1512
58,201746,0,56,405,0,2,29,5,61,1826
59,201747,0,41,491,0,2,10,5,60,1570
60,201748,1,61,788,0,11,20,8,108,2329
61,201749,0,72,1056,0,4,31,16,103,2721
62,201750,0,137,1513,0,11,39,36,173,3472
63,201751,0,240,2490,0,19,79,39,258,4761
64,201752,0,278,2985,0,29,101,35,373,5355
65,201801,0,320,3310,0,39,165,45,465,6378
66,201802,0,400,3348,0,70,163,42,537,6889
67,201803,0,406,2726,0,50,189,47,536,6223
68,201804,0,540,2747,0,38,231,59,717,6861
69,201805,0,542,2488,0,39,305,91,802,6953
70,201806,0,543,2035,0,32,329,113,931,6430
71,201807,0,492,1496,0,22,251,113,927,5421
72,201808,0,297,1048,0,19,245,110,885,4450
73,201809,0,245,588,0,13,204,88,697,3528
74,201810,0,144,408,0,25,172,88,646,2994
75,201811,0,187,277,0,25,180,70,535,2493
76,201812,0,120,234,0,10,132,51,465,2210
77,201813,0,131,220,0,8,107,62,455,1937
78,201814,0,119,163,0,8,72,54,405,1877
79,201815,0,101,102,0,2,54,40,297,1444
80,201816,0,51,86,0,0,45,43,211,1144
81,201817,0,56,52,0,1,55,28,135,1000
82,201818,0,39,31,0,3,23,14,137,800
83,201819,0,16,20,0,0,8,6,68,576
84,201820,0,16,10,0,0,10,6,27,443
85,201821,0,18,6,0,0,8,4,20,338
86,201822,0,7,5,0,1,2,2,11,259
87,201823,0,6,3,0,1,3,3,9,283
88,201824,0,6,3,0,0,2,3,8,274
89,201825,1,1,3,0,0,0,3,6,210
90,201826,0,2,6,0,0,0,0,1,194
91,201827,0,9,5,0,0,1,0,6,125
92,201828,0,8,9,0,0,1,2,3,168
93,201829,0,15,5,0,0,3,2,4,171
94,201830,0,9,3,0,4,0,2,0,235
95,201831,0,7,10,0,6,0,0,1,184
96,201832,0,6,8,0,3,1,0,2,159
97,201833,0,5,9,0,6,1,0,2,175
98,201834,0,16,19,0,7,1,0,1,239
99,201835,0,10,6,0,0,0,0,2,246
100,201836,0,16,17,0,1,1,0,1,324
101,201837,0,28,13,0,1,0,0,3,400
102,201838,0,16,10,0,1,2,0,2,406
103,201839,0,4,3,0,2,0,0,3,355
104,201840,0,29,11,0,8,0,7,11,802
105,201841,0,52,11,0,8,5,3,5,918
106,201842,0,52,22,0,13,1,2,14,1112
107,201843,0,76,35,0,3,3,0,13,1120
108,201844,0,84,23,0,3,1,1,8,1247
109,201845,0,117,27,0,15,5,4,7,1337
110,201846,0,148,41,0,12,0,2,3,1421
111,201847,0,215,54,0,10,1,2,5,1131
112,201848,0,326,64,0,12,1,2,10,1706
113,201849,0,361,90,0,14,7,3,7,1733
114,201850,0,674,166,0,20,3,7,6,2194
115,201851,0,1115,248,0,79,9,20,8,2680
116,201852,0,1243,274,0,113,8,19,9,2571
117,201901,0,1182,305,0,161,6,6,17,2891
118,201902,0,1429,233,0,99,11,4,20,3292
119,201903,0,1475,366,0,116,9,17,16,3332
120,201904,0,1546,511,0,117,19,17,9,3550
121,201905,0,1678,806,0,72,11,24,18,4166
122,201906,0,1878,1202,0,76,17,18,11,4898
123,201907,0,1703,1305,0,57,23,29,18,4746
124,201908,0,1480,1501,0,77,57,28,12,4784
125,201909,0,1364,1781,0,96,39,33,10,4992
126,201910,0,1273,1804,0,107,60,39,27,4831
127,201911,0,1042,1796,0,89,54,54,31,4528
128,201912,0,739,1374,0,61,79,46,19,3841
129,201913,0,467,1097,0,46,107,65,25,3011
130,201914,0,333,874,0,36,98,70,18,2651
131,201915,0,214,652,0,15,79,58,17,2138
132,201916,0,125,347,0,14,26,50,18,1493
133,201917,0,86,217,0,6,67,39,14,1251
134,201918,0,65,158,0,6,13,40,10,1033
135,201919,0,45,93,0,14,23,41,9,839
136,201920,0,43,79,0,5,12,40,7,803
137,201921,0,29,67,0,3,3,27,3,558
138,201922,0,23,55,0,4,20,25,11,578
139,201923,0,26,54,0,3,19,32,1,506
140,201924,0,21,57,0,7,6,19,2,437
141,201925,0,19,52,0,2,9,13,0,397
142,201926,0,21,47,0,3,4,12,3,392
143,201927,0,28,41,0,4,3,13,1,362
144,201928,0,10,41,0,1,3,9,1,398
145,201929,0,12,55,0,4,1,10,0,327
146,201930,0,16,27,0,4,3,11,0,284
147,201931,0,12,29,0,3,1,10,2,334
148,201932,0,7,34,0,0,0,16,0,280
149,201933,0,18,35,0,0,0,37,0,325
150,201934,0,19,37,0,1,2,32,0,344
151,201935,0,12,32,0,3,3,29,0,350
152,201936,0,11,49,0,5,1,29,1,385
153,201937,0,10,64,0,3,2,43,2,519
154,201938,0,22,37,0,5,4,37,0,561
155,201939,0,8,17,0,4,0,9,0,300
156,201940,0,25,57,0,21,7,56,1,987
157,201941,0,33,64,0,22,7,70,2,1100
158,201942,0,36,82,0,24,13,77,3,1256
159,201943,0,53,78,0,48,20,96,5,1493
160,201944,0,52,61,0,83,39,120,5,1597
161,201945,0,122,74,0,205,74,234,10,2347
162,201946,0,149,58,0,146,89,330,10,2208
163,201947,0,258,78,0,173,173,423,10,2808
164,201948,0,369,83,0,92,141,500,10,2359
165,201949,0,513,83,0,86,195,657,14,3259
166,201950,0,619,78,0,41,311,807,15,3503
167,201951,0,911,50,0,52,272,1093,16,3987
168,201952,0,1204,86,0,27,326,1309,24,4162
169,202001,0,1230,101,0,45,198,1255,22,4183
170,202002,0,1221,85,0,33,206,1045,18,4179
171,202003,0,1543,68,0,56,252,1170,12,4751
172,202004,0,1769,79,0,37,256,1139,8,5009
173,202005,0,2342,92,0,50,310,1066,8,6089
174,202006,0,2285,91,0,56,298,851,5,5491
175,202007,0,1929,60,0,108,277,665,10,4753
176,202008,0,1749,78,0,120,169,568,9,4366
177,202009,0,1612,62,0,47,142,441,8,3871
178,202010,0,1525,70,0,60,134,339,8,3997
179,202011,0,1104,69,0,52,93,182,3,3545
180,202012,0,443,29,0,25,47,75,1,2855
181,202013,0,100,7,0,8,34,20,2,2143
182,202014,0,37,1,0,4,7,5,0,1471
183,202015,0,28,0,0,3,4,0,0,1025
184,202016,0,19,0,0,0,3,2,0,884
185,202017,0,26,0,0,0,4,0,0,803
186,202018,0,23,0,0,1,2,1,0,725
187,202019,0,26,1,0,0,2,0,0,658
188,202020,0,24,0,0,0,3,0,0,687
189,202021,0,0,0,0,1,0,0,0,555
190,202022,0,2,0,0,1,1,0,0,533
191,202023,0,0,0,0,0,2,0,0,362
192,202024,0,1,0,0,1,3,1,0,351
193,202025,0,0,0,0,0,0,0,0,400
194,202026,0,0,0,0,3,0,0,0,215
195,202027,1,0,0,0,0,0,0,0,201
196,202028,0,0,0,0,1,1,0,0,263
197,202029,0,0,0,0,0,0,0,0,231
198,202030,0,0,0,0,2,0,0,0,236
199,202031,0,0,0,0,0,0,0,0,208
200,202032,0,0,0,0,0,0,0,0,167
201,202033,0,0,0,0,0,1,0,0,118
202,202034,0,0,0,0,0,0,0,0,202
203,202035,0,0,0,0,0,0,0,0,2324
204,202036,0,0,0,0,1,0,0,0,2553
205,202037,0,0,1,0,0,0,0,0,124
206,202038,0,0,0,0,1,0,0,0,116
207,202039,0,0,0,0,1,0,0,0,1234
208,202040,0,0,0,0,3,2,0,0,11341
209,202041,0,3,2,0,3,5,1,0,11919
210,202042,0,0,1,0,4,5,0,0,11054
211,202043,0,1,1,0,10,3,0,0,15373
212,202044,0,0,1,0,7,13,1,2,20084
213,202045,0,0,1,0,5,7,0,0,26074
214,202046,0,3,4,0,6,4,0,1,25411
215,202047,0,0,3,0,0,2,0,2,18865
216,202048,0,2,0,0,6,2,1,0,11003
217,202049,0,0,0,0,5,4,2,3,17316
218,202050,0,3,3,0,8,1,2,0,16255
219,202051,0,0,0,0,6,4,0,0,14956
220,202052,0,0,0,0,2,2,0,0,12389
221,202053,0,1,1,0,6,3,0,0,11087
222,202101,0,0,0,0,6,3,1,0,17256
223,202102,1,0,0,0,4,3,1,0,15470
224,202103,0,0,1,0,2,1,0,0,13731
225,202104,0,1,0,0,2,1,0,0,13075
226,202105,0,0,0,0,4,3,0,0,16131
227,202106,0,0,0,0,2,1,1,0,17006
228,202107,0,0,0,0,3,1,0,0,13353
229,202108,0,1,1,0,1,3,0,0,16278
230,202109,0,0,0,0,2,0,0,0,14402
231,202110,0,1,0,0,1,1,1,0,16462
232,202111,0,0,1,0,4,2,0,0,14150
233,202112,0,0,0,0,1,0,0,0,14814
234,202113,0,0,0,0,5,1,0,0,13739
235,202114,0,1,0,0,0,0,0,0,14016
236,202115,0,1,1,0,3,2,0,0,15425
237,202116,0,0,0,0,0,1,0,0,12230
238,202117,0,0,0,0,1,0,0,0,12668
239,202118,0,0,0,0,0,0,1,0,10656
240,202119,0,0,0,0,0,0,0,0,9263
241,202120,0,0,0,0,1,0,5,0,9931
242,202121,0,0,0,0,0,0,0,0,8770
243,202122,0,1,0,0,2,1,0,0,6715
244,202123,0,0,0,0,2,0,0,0,5558
245,202124,0,0,0,0,0,0,0,0,5475
246,202125,0,1,0,0,0,0,0,0,5939
247,202126,0,0,0,0,1,0,0,0,7202
248,202127,0,1,1,0,1,1,0,0,6582
249,202128,0,0,3,0,3,1,1,0,8830
250,202129,0,0,2,0,0,0,0,0,8242
251,202130,0,1,1,0,1,0,0,0,8815
252,202131,0,0,2,0,3,0,0,0,12422
253,202132,1,0,1,0,2,0,0,0,14124
254,202133,0,0,3,0,2,1,0,0,18738
255,202134,0,1,0,0,5,3,0,0,20698
256,202135,0,0,0,0,0,1,1,0,22433
257,202136,0,1,0,0,6,1,0,0,20148
258,202137,0,1,1,0,4,1,4,0,20312
259,202138,0,2,1,0,6,0,0,0,18880
260,202139,0,0,2,0,6,6,0,1,15338
261,202140,0,1,86,0,5,4,3,0,19717
262,202141,1,0,93,0,2,7,2,0,19250
263,202142,0,0,52,0,3,4,3,0,24777
264,202143,0,0,50,0,7,2,8,0,24959
265,202144,0,0,183,0,11,1,4,0,24215
266,202145,0,0,213,0,48,3,1,0,23094
267,202146,0,2,452,0,77,5,4,1,23967
268,202147,0,1,526,0,60,4,2,0,16599
269,202148,0,1,836,0,136,4,3,0,25539
270,202149,0,0,952,0,241,0,2,0,29962
271,202150,0,0,1097,0,316,3,0,0,32804
272,202151,0,0,1022,0,287,3,0,0,33173
273,202152,0,0,1016,0,506,4,0,0,43694
274,202201,0,0,814,0,344,8,0,0,66307
275,202202,0,0,635,0,393,2,0,0,66668
276,202203,0,0,529,0,202,1,0,0,49892
277,202204,0,0,403,0,189,5,2,0,40873
278,202205,0,0,387,0,121,2,1,0,27696
279,202206,0,0,488,0,147,1,0,0,26692
280,202207,0,1,408,0,162,1,1,0,22867
281,202208,0,0,371,0,128,2,0,0,18154
282,202209,0,1,476,0,135,2,1,0,17681
283,202210,0,0,489,0,109,0,1,0,15973
284,202211,0,3,474,0,131,0,0,0,13891
285,202212,0,0,603,0,98,0,0,0,14380
286,202213,0,0,666,0,114,1,1,0,13826
287,202214,0,0,615,0,97,1,1,0,13520
288,202215,0,0,689,0,119,4,0,0,13930
289,202216,0,2,704,0,125,3,0,0,14152
290,202217,0,3,696,0,99,0,0,0,14781
291,202218,0,3,741,0,91,1,0,0,15462
292,202219,0,1,647,0,169,3,0,0,15401
293,202220,0,4,623,0,149,1,0,0,14784
294,202221,0,1,512,0,114,1,0,0,15101
295,202222,0,1,472,0,102,0,0,0,14152
296,202223,0,0,349,0,75,2,0,0,15008
297,202224,0,0,307,0,46,3,0,0,15467
298,202225,0,0,168,0,29,1,0,0,16849
299,202226,0,1,76,0,25,1,0,0,18798
300,202227,0,0,83,0,12,1,0,0,18527
301,202228,0,0,115,0,11,1,0,0,19776
302,202229,0,1,42,0,9,4,0,0,21093
303,202230,0,0,31,0,15,3,0,0,21454
304,202231,3,2,39,0,16,2,0,0,18765
305,202232,0,1,83,0,7,2,0,0,15382
306,202233,0,6,56,0,7,1,1,0,11937
307,202234,0,11,59,0,7,0,2,0,11513
308,202235,0,6,48,0,7,3,0,0,11648
309,202236,0,8,68,0,11,0,0,0,10586
310,202237,0,4,60,0,9,5,0,0,10874
311,202238,0,14,86,0,13,6,2,0,10233
312,202239,0,7,22,0,18,2,0,0,7379
313,202240,0,39,239,0,19,3,5,0,9119
314,202241,0,66,364,0,23,3,5,0,8513
315,202242,1,114,449,0,33,4,6,0,9396
316,202243,0,230,706,0,51,2,3,0,9430
317,202244,0,316,917,0,175,4,5,0,10298
318,202245,0,323,1195,0,192,1,2,0,9489
319,202246,0,443,1557,0,332,4,2,0,11432
320,202247,0,461,1844,0,359,1,2,0,9779
321,202248,0,646,2086,1,650,1,3,0,12376
322,202249,0,548,2013,0,578,2,4,0,11785
323,202250,0,535,1729,0,541,1,4,0,11421
324,202251,0,456,1199,0,474,3,6,0,9432
325,202252,0,443,850,0,258,0,7,0,8085
326,202301,0,398,822,0,227,2,12,0,8693
327,202302,0,223,527,0,96,1,13,0,8310
328,202303,0,210,324,0,66,4,12,0,7489
329,202304,0,123,165,0,40,0,10,0,6770
330,202305,0,121,118,0,24,2,18,0,6153
331,202306,0,131,115,0,25,6,21,0,7284
332,202307,0,85,69,0,18,3,26,0,7331
333,202308,0,61,60,0,17,4,14,0,6671
334,202309,0,75,53,0,13,8,28,0,7118
335,202310,0,75,44,0,14,10,21,0,6895
336,202311,0,59,28,0,8,9,25,0,6185
337,202312,0,60,38,0,11,15,34,0,6174
338,202313,0,57,17,0,16,10,41,0,5092
339,202314,0,65,19,0,11,14,37,0,5030
340,202315,0,47,6,0,9,11,37,0,4977
341,202316,0,33,12,0,2,17,46,0,4130
342,202317,0,42,18,0,2,11,49,0,4094
343,202318,0,41,9,0,2,11,54,0,3958
344,202319,0,50,4,0,2,8,68,0,3626
345,202320,0,45,10,0,3,10,59,0,3246
346,202321,0,41,3,0,5,14,43,0,2965
347,202322,0,56,1,0,5,11,39,0,2474
348,202323,0,67,5,0,3,13,58,0,2691
349,202324,0,62,3,0,7,7,42,0,2271
350,202325,0,68,5,0,4,5,36,0,2338
351,202326,0,63,17,0,5,3,54,0,2414
352,202327,0,61,1,0,4,4,33,0,1828
353,202328,0,58,4,0,5,1,26,0,2168
354,202329,1,62,7,0,1,2,16,0,2100
355,202330,0,48,5,0,1,1,29,0,1667
356,202331,0,73,6,0,6,1,25,0,1472
357,202332,0,45,5,0,9,3,32,0,1957
358,202333,0,53,13,0,7,1,21,0,1875
359,202334,0,57,9,0,3,9,24,0,1931
360,202335,0,55,9,0,9,3,12,0,1996
361,202336,0,54,7,0,21,7,19,0,2320
362,202337,0,47,8,0,13,2,20,0,3215
363,202338,0,73,5,0,11,2,25,0,3002
364,202339,0,59,3,0,18,2,13,0,2404
365,202340,0,176,16,0,10,3,48,0,3058
366,202341,0,213,22,0,12,5,68,0,3060
367,202342,0,276,26,0,34,12,73,0,3410
368,202343,0,240,36,0,48,14,68,0,2918
369,202344,0,291,41,0,64,13,90,0,3161
370,202345,0,483,61,0,111,29,135,0,3296
371,202346,0,486,103,0,150,43,143,0,3894
372,202347,0,580,124,0,144,27,141,0,3029
373,202348,0,710,176,0,174,24,219,0,4218
374,202349,0,972,271,0,245,52,262,0,4517
375,202350,0,1017,287,0,400,82,303,0,5001
376,202351,0,1236,330,0,283,39,286,0,5079
377,202352,0,1209,299,0,270,21,245,0,4496
378,202401,0,1122,334,0,242,58,317,0,4872
379,202402,0,935,341,0,253,60,258,0,5096
380,202403,0,794,302,0,163,46,209,0,3797
381,202404,0,759,392,0,191,57,290,0,4299
382,202405,0,689,393,0,147,60,387,0,4132
383,202406,0,603,433,0,175,63,431,0,4020
384,202407,0,511,429,0,165,59,439,0,4197
385,202408,0,472,428,0,198,64,482,0,4003
386,202409,0,454,383,0,173,50,446,0,4051
387,202410,0,353,397,0,161,43,465,0,3749
388,202411,0,261,323,0,147,34,396,0,3187
389,202412,0,234,292,0,124,36,314,0,2883
390,202413,0,215,273,0,80,30,266,0,2807
391,202414,0,176,286,0,56,33,249,0,2080
392,202415,0,179,261,0,49,39,226,0,1892
393,202416,0,126,196,0,62,28,166,0,1658
394,202417,0,97,142,0,36,20,130,0,1481
395,202418,0,95,129,0,37,17,95,0,1270
396,202419,0,54,101,0,28,15,84,0,1271
397,202420,0,49,74,0,33,2,47,0,1033
398,202421,0,44,112,0,28,2,36,0,1096
399,202422,0,59,100,0,15,6,57,0,1136
400,202423,0,57,123,0,14,4,47,0,1121
401,202424,0,79,118,0,23,2,46,0,1282
402,202425,0,75,118,0,23,5,29,0,1170
403,202426,0,80,149,0,28,1,30,0,1613
404,202427,0,68,134,0,30,1,12,0,1268
405,202428,1,82,121,0,25,0,10,0,1611
406,202429,0,57,86,0,21,2,8,0,1435
407,202430,0,49,108,0,11,0,9,0,1407
408,202431,0,69,86,0,16,1,3,0,1359
409,202432,0,83,97,0,14,1,4,0,1422
410,202433,0,66,69,0,19,0,2,0,1441
411,202434,0,48,64,0,11,0,4,0,1364
412,202435,0,57,90,0,10,0,4,0,1220
413,202436,2,60,62,0,11,0,3,0,1236
414,202437,0,69,62,0,14,1,3,0,1353
415,202438,0,76,59,0,17,1,1,0,1227
416,202439,0,39,15,0,11,0,3,0,880
417,202440,0,24,19,0,13,0,0,0,638
